program	class	m3_vs_m4	m3_vs_ref	m4_vs_ref
140_pat_eval_double_fn_trick	M3-MISS	-	-	-
141_pat_eval_double_fn_arbno	DIFFER	DIFF	DIFF	DIFF
142_pat_arbno_fence_arbno	IDENTICAL	=	=	=
143_pat_regex_quantified_class	IDENTICAL	=	DIFF	DIFF
144_pat_json_nested_array	M3-MISS	-	-	-
145_pat_left_assoc_via_arbno_fence	M3-MISS	-	-	-
146_pat_fence_alt_with_capture	M3-MISS	-	-	-
147_pat_fence_through_unevaluated	M3-MISS	-	-	-
148_pat_arbno_star_var_fence_short	IDENTICAL	=	=	=
149_pat_arbno_star_var_fence_outer_pre_match	IDENTICAL	=	=	=
150_pat_star_var_fence_alts_no_arbno	M3-MISS	-	-	-
151_pat_arbno_inline_fence_backtrack	M3-MISS	-	-	-
152_pat_json_keyvalue_renamed	M3-MISS	-	-	-
153_pat_operand_edge_matrix	DIFFER	DIFF	DIFF	DIFF
154_pat_construction_time_hoist	DIFFER	DIFF	DIFF	DIFF
155_pat_cap_output_order	IDENTICAL	=	=	=
156_pat_cap_alt_abandon_pop	DIFFER	DIFF	=	DIFF
157_pat_cap_arb_alt_keep	DIFFER	DIFF	DIFF	DIFF
158_pat_cap_arbno_each_iter	IDENTICAL	=	=	=
159_pat_cap_reyield_discard	IDENTICAL	=	=	=
160_pat_alt_inner_gen_resume	M3-MISS	-	-	-
161_pat_defer_fn_nested_match	IDENTICAL	=	=	=
162_pat_arbno_null_body_guard	IDENTICAL	=	=	=
163_pat_arbno_inner_alt_trace	IDENTICAL	=	=	=
164_pat_arbno_nested	IDENTICAL	=	=	=
165_pat_arbno_defer_var_body	DIFFER	DIFF	DIFF	DIFF
166_pat_arbno_cond_assign_commit	IDENTICAL	=	=	=
167_pat_arbno_depth_20k	IDENTICAL	=	=	=
170_pat_abort_kills_match	IDENTICAL	=	=	=
171_pat_abort_no_anchor_advance	IDENTICAL	=	=	=
172_pat_fail_forces_retry	IDENTICAL	=	=	=
173_pat_fence_kw_blocks_backup	IDENTICAL	=	=	=
174_pat_bal_manual_example	IDENTICAL	=	DIFF	DIFF
175_pat_bal_generator_retry	IDENTICAL	=	DIFF	DIFF
176_pat_bal_balanced_forms	IDENTICAL	=	DIFF	DIFF
177_pat_bal_unbalanced_rejected	IDENTICAL	=	=	=
178_pat_recursive_star_list_zs2	M3-MISS	-	-	-
179_pat_arbno_defer_recursive_list	M3-MISS	-	-	-
180_pat_arbno_defer_nonrecursive	DIFFER	DIFF	DIFF	DIFF
181_pat_arbno_defer_tail_stressors	DIFFER	DIFF	DIFF	DIFF
182_pat_arbno_defer_windowed_leaf	DIFFER	DIFF	DIFF	DIFF
183_pat_arbno_defer_recursive_carry	DIFFER	DIFF	DIFF	DIFF
1010_func_recursion	IDENTICAL	=	=	=
1011_func_redefine	IDENTICAL	=	=	=
1012_func_locals	IDENTICAL	=	=	=
1013_func_nreturn	IDENTICAL	=	=	=
1014_func_freturn	IDENTICAL	=	=	=
1015_opsyn	IDENTICAL	=	=	=
1016_eval	IDENTICAL	=	=	=
1017_arg_local	M4-MISS	-	-	-
1018_apply	IDENTICAL	=	=	=
1019_eval_string	IDENTICAL	=	=	=
1020_code_label_transfer	IDENTICAL	=	=	=
1021_code_direct_goto	IDENTICAL	=	=	=
1022_eval_fail	IDENTICAL	=	=	=
1110_array_1d	IDENTICAL	=	=	=
1111_array_default	IDENTICAL	=	=	=
1112_array_multi	IDENTICAL	=	=	=
1113_table	IDENTICAL	=	=	=
1114_item	IDENTICAL	=	=	=
1115_data_basic	IDENTICAL	=	=	=
1116_data_overlap	IDENTICAL	=	=	=
210_indirect_ref	IDENTICAL	=	=	=
211_indirect_assign	IDENTICAL	=	=	=
212_indirect_array	IDENTICAL	=	=	=
213_indirect_name	IDENTICAL	=	=	=
214_indirect_goto	IDENTICAL	=	=	=
215_indirect_goto_cond	IDENTICAL	=	=	=
216_indirect_goto_computed	IDENTICAL	=	=	=
310_concat_strings	IDENTICAL	=	=	=
311_concat_numeric	IDENTICAL	=	=	=
312_concat_null	IDENTICAL	=	=	=
