# nqp_key	sc_name -- the census key of each Perl6/Grammar.nqp declaration and the Snocone pattern it becomes
startstops/starter	ss3_starter
Perl6::Grammar/special_variable:sym<$@>	g_special_variable__x24x40
Perl6::Grammar/special_variable:sym<$#>	g_special_variable__x24x23
Perl6::Grammar/special_variable:sym<$$>	g_special_variable__x24x24
Perl6::Grammar/special_variable:sym<$&>	g_special_variable__x24x26
Perl6::Grammar/special_variable:sym<@+>	g_special_variable__x40x2b
Perl6::Grammar/special_variable:sym<%+>	g_special_variable__x25x2b
Perl6::Grammar/special_variable:sym<$+[ ]>	g_special_variable__x24x2bx5bx20x5d
Perl6::Grammar/special_variable:sym<@+[ ]>	g_special_variable__x40x2bx5bx20x5d
Perl6::Grammar/special_variable:sym<@+{ }>	g_special_variable__x40x2bx7bx20x7d
Perl6::Grammar/special_variable:sym<@->	g_special_variable__x40x2d
Perl6::Grammar/special_variable:sym<%->	g_special_variable__x25x2d
Perl6::Grammar/special_variable:sym<$-[ ]>	g_special_variable__x24x2dx5bx20x5d
Perl6::Grammar/special_variable:sym<@-[ ]>	g_special_variable__x40x2dx5bx20x5d
Perl6::Grammar/special_variable:sym<%-{ }>	g_special_variable__x25x2dx7bx20x7d
Perl6::Grammar/special_variable:sym<$/>	g_special_variable__x24x2f
Perl6::Grammar/special_variable:sym<$\\>	g_special_variable__x24x5cx5c
Perl6::Grammar/special_variable:sym<$|>	g_special_variable__x24x7c
Perl6::Grammar/special_variable:sym<$;>	g_special_variable__x24x3b
Perl6::Grammar/special_variable:sym<$'>	g_special_variable__x24x27
Perl6::Grammar/special_variable:sym<$">	g_special_variable__x24x22
Perl6::Grammar/special_variable:sym<$,>	g_special_variable__x24x2c
Perl6::Grammar/special_variable:sym<$.>	g_special_variable__x24x2e
Perl6::Grammar/special_variable:sym<$?>	g_special_variable__x24x3f
Perl6::Grammar/special_variable:sym<$]>	g_special_variable__x24x5d
Perl6::Grammar/special_variable:sym<${ }>	g_special_variable__x24x7bx20x7d
Perl6::Grammar/desigilname	g_desigilname
Perl6::Grammar/desigilmetaname	g_desigilmetaname
Perl6::Grammar/sigilless-variable	g_sigillessx2dvariable
Perl6::Grammar/variable	g_variable
Perl6::Grammar/contextualizer	g_contextualizer
Perl6::Grammar/sigil	g_sigil
Perl6::Grammar/twigil	g_twigil
Perl6::Grammar/twigil:sym<.>	g_twigil__x2e
Perl6::Grammar/twigil:sym<!>	g_twigil__x21
Perl6::Grammar/twigil:sym<^>	g_twigil__x5e
Perl6::Grammar/twigil:sym<:>	g_twigil__x3a
Perl6::Grammar/twigil:sym<*>	g_twigil__x2a
Perl6::Grammar/twigil:sym<?>	g_twigil__x3f
Perl6::Grammar/twigil:sym<=>	g_twigil__x3d
Perl6::Grammar/twigil:sym<~>	g_twigil__x7e
Perl6::Grammar/package_declarator	g_package_declarator
Perl6::Grammar/package_declarator:sym<package>	g_package_declarator__package
Perl6::Grammar/package_declarator:sym<module>	g_package_declarator__module
Perl6::Grammar/package_declarator:sym<class>	g_package_declarator__class
Perl6::Grammar/package_declarator:sym<grammar>	g_package_declarator__grammar
Perl6::Grammar/package_declarator:sym<role>	g_package_declarator__role
Perl6::Grammar/package_declarator:sym<knowhow>	g_package_declarator__knowhow
Perl6::Grammar/package_declarator:sym<native>	g_package_declarator__native
Perl6::Grammar/package_declarator:sym<slang>	g_package_declarator__slang
Perl6::Grammar/package_declarator:sym<trusts>	g_package_declarator__trusts
Perl6::Grammar/package_declarator:sym<also>	g_package_declarator__also
Perl6::Grammar/package_def	g_package_def
Perl6::Grammar/declarator	g_declarator
Perl6::Grammar/multi_declarator	g_multi_declarator
Perl6::Grammar/multi_declarator:sym<multi>	g_multi_declarator__multi
Perl6::Grammar/multi_declarator:sym<proto>	g_multi_declarator__proto
Perl6::Grammar/multi_declarator:sym<only>	g_multi_declarator__only
Perl6::Grammar/multi_declarator:sym<null>	g_multi_declarator__null
Perl6::Grammar/scope_declarator	g_scope_declarator
Perl6::Grammar/scope_declarator:sym<my>	g_scope_declarator__my
Perl6::Grammar/scope_declarator:sym<our>	g_scope_declarator__our
Perl6::Grammar/scope_declarator:sym<has>	g_scope_declarator__has
Perl6::Grammar/scope_declarator:sym<HAS>	g_scope_declarator__HAS
Perl6::Grammar/scope_declarator:sym<augment>	g_scope_declarator__augment
Perl6::Grammar/scope_declarator:sym<anon>	g_scope_declarator__anon
Perl6::Grammar/scope_declarator:sym<state>	g_scope_declarator__state
Perl6::Grammar/scope_declarator:sym<supersede>	g_scope_declarator__supersede
Perl6::Grammar/scope_declarator:sym<unit>	g_scope_declarator__unit
Perl6::Grammar/scoped	g_scoped
Perl6::Grammar/variable_declarator	g_variable_declarator
Perl6::Grammar/routine_declarator	g_routine_declarator
Perl6::Grammar/routine_declarator:sym<sub>	g_routine_declarator__sub
Perl6::Grammar/routine_declarator:sym<method>	g_routine_declarator__method
Perl6::Grammar/routine_declarator:sym<submethod>	g_routine_declarator__submethod
Perl6::Grammar/routine_declarator:sym<macro>	g_routine_declarator__macro
Perl6::Grammar/routine_def	g_routine_def
Perl6::Grammar/method_def	g_method_def
Perl6::Grammar/macro_def	g_macro_def
Perl6::Grammar/onlystar	g_onlystar
Perl6::Grammar/capterm	g_capterm
Perl6::Grammar/param_sep	g_param_sep
Perl6::Grammar/multisig	g_multisig
Perl6::Grammar/sigterm	g_sigterm
Perl6::Grammar/fakesignature	g_fakesignature
Perl6::Grammar/signature	g_signature
Perl6::Grammar/parameter	g_parameter
Perl6::Grammar/param_var	g_param_var
Perl6::Grammar/param_term	g_param_term
Perl6::Grammar/named_param	g_named_param
Perl6::Grammar/default_value	g_default_value
Perl6::Grammar/type_constraint	g_type_constraint
Perl6::Grammar/post_constraint	g_post_constraint
Perl6::Grammar/regex_declarator	g_regex_declarator
Perl6::Grammar/regex_declarator:sym<rule>	g_regex_declarator__rule
Perl6::Grammar/regex_declarator:sym<token>	g_regex_declarator__token
Perl6::Grammar/regex_declarator:sym<regex>	g_regex_declarator__regex
Perl6::Grammar/regex_def	g_regex_def
Perl6::Grammar/type_declarator	g_type_declarator
Perl6::Grammar/type_declarator:sym<enum>	g_type_declarator__enum
Perl6::Grammar/type_declarator:sym<subset>	g_type_declarator__subset
Perl6::Grammar/type_declarator:sym<constant>	g_type_declarator__constant
Perl6::Grammar/initializer	g_initializer
Perl6::Grammar/initializer:sym<=>	g_initializer__x3d
Perl6::Grammar/initializer:sym<:=>	g_initializer__x3ax3d
Perl6::Grammar/initializer:sym<::=>	g_initializer__x3ax3ax3d
Perl6::Grammar/initializer:sym<.=>	g_initializer__x2ex3d
Perl6::Grammar/trait	g_trait
Perl6::Grammar/trait_mod	g_trait_mod
Perl6::Grammar/trait_mod:sym<is>	g_trait_mod__is
Perl6::Grammar/trait_mod:sym<hides>	g_trait_mod__hides
Perl6::Grammar/trait_mod:sym<does>	g_trait_mod__does
Perl6::Grammar/trait_mod:sym<will>	g_trait_mod__will
Perl6::Grammar/trait_mod:sym<of>	g_trait_mod__of
Perl6::Grammar/trait_mod:sym<returns>	g_trait_mod__returns
Perl6::Grammar/trait_mod:sym<handles>	g_trait_mod__handles
Perl6::Grammar/bad_trait_typename	g_bad_trait_typename
Perl6::Grammar/term	g_term
Perl6::Grammar/term:sym<self>	g_term__self
Perl6::Grammar/term:sym<now>	g_term__now
Perl6::Grammar/term:sym<time>	g_term__time
Perl6::Grammar/term:sym<nano>	g_term__nano
Perl6::Grammar/term:sym<empty_set>	g_term__empty_set
Perl6::Grammar/term:sym<rand>	g_term__rand
Perl6::Grammar/term:sym<...>	g_term__x2ex2ex2e
Perl6::Grammar/term:sym<???>	g_term__x3fx3fx3f
Perl6::Grammar/term:sym<!!!>	g_term__x21x21x21
Perl6::Grammar/term:sym<identifier>	g_term__identifier
Perl6::Grammar/term:sym<nqp::op>	g_term__nqpx3ax3aop
Perl6::Grammar/term:sym<nqp::const>	g_term__nqpx3ax3aconst
Perl6::Grammar/term:sym<name>	g_term__name
Perl6::Grammar/term:sym<dotty>	g_term__dotty
Perl6::Grammar/term:sym<capterm>	g_term__capterm
Perl6::Grammar/term:sym<onlystar>	g_term__onlystar
Perl6::Grammar/args	g_args
Perl6::Grammar/semiarglist	g_semiarglist
Perl6::Grammar/arglist	g_arglist
Perl6::Grammar/value	g_value
Perl6::Grammar/value:sym<quote>	g_value__quote
Perl6::Grammar/value:sym<number>	g_value__number
Perl6::Grammar/value:sym<version>	g_value__version
Perl6::Grammar/number	g_number
Perl6::Grammar/number:sym<numish>	g_number__numish
Perl6::Grammar/signed-number	g_signedx2dnumber
Perl6::Grammar/numish	g_numish
Perl6::Grammar/dec_number	g_dec_number
Perl6::Grammar/signed-integer	g_signedx2dinteger
Perl6::Grammar/integer	g_integer
Perl6::Grammar/rad_number	g_rad_number
Perl6::Grammar/radint	g_radint
Perl6::Grammar/escale	g_escale
Perl6::Grammar/sign	g_sign
Perl6::Grammar/rat_number	g_rat_number
Perl6::Grammar/bare_rat_number	g_bare_rat_number
Perl6::Grammar/complex_number	g_complex_number
Perl6::Grammar/bare_complex_number	g_bare_complex_number
Perl6::Grammar/typename	g_typename
Perl6::Grammar/typo_typename	g_typo_typename
Perl6::Grammar/quotepair	g_quotepair
Perl6::Grammar/rx_adverbs	g_rx_adverbs
Perl6::Grammar/qok	g_qok
Perl6::Grammar/quote_mod	g_quote_mod
Perl6::Grammar/quote_mod:sym<w>	g_quote_mod__w
Perl6::Grammar/quote_mod:sym<ww>	g_quote_mod__ww
Perl6::Grammar/quote_mod:sym<x>	g_quote_mod__x
Perl6::Grammar/quote_mod:sym<to>	g_quote_mod__to
Perl6::Grammar/quote_mod:sym<s>	g_quote_mod__s
Perl6::Grammar/quote_mod:sym<a>	g_quote_mod__a
Perl6::Grammar/quote_mod:sym<h>	g_quote_mod__h
Perl6::Grammar/quote_mod:sym<f>	g_quote_mod__f
Perl6::Grammar/quote_mod:sym<c>	g_quote_mod__c
Perl6::Grammar/quote_mod:sym<b>	g_quote_mod__b
Perl6::Grammar/quote	g_quote
Perl6::Grammar/quote:sym<apos>	g_quote__apos
Perl6::Grammar/quote:sym<sapos>	g_quote__sapos
Perl6::Grammar/quote:sym<lapos>	g_quote__lapos
Perl6::Grammar/quote:sym<hapos>	g_quote__hapos
Perl6::Grammar/quote:sym<dblq>	g_quote__dblq
Perl6::Grammar/quote:sym<sdblq>	g_quote__sdblq
Perl6::Grammar/quote:sym<ldblq>	g_quote__ldblq
Perl6::Grammar/quote:sym<hdblq>	g_quote__hdblq
Perl6::Grammar/quote:sym<crnr>	g_quote__crnr
Perl6::Grammar/quote:sym<q>	g_quote__q
Perl6::Grammar/quote:sym<qq>	g_quote__qq
Perl6::Grammar/quote:sym<Q>	g_quote__Q
Perl6::Grammar/quote:sym</null/>	g_quote__x2fnullx2f
Perl6::Grammar/quote:sym</ />	g_quote__x2fx20x2f
Perl6::Grammar/quote:sym<rx>	g_quote__rx
Perl6::Grammar/quote:sym<m>	g_quote__m
Perl6::Grammar/quote:sym<qr>	g_quote__qr
Perl6::Grammar/setup_quotepair	g_setup_quotepair
Perl6::Grammar/sibble	g_sibble
Perl6::Grammar/quote:sym<s>	g_quote__s
Perl6::Grammar/tribble	g_tribble
Perl6::Grammar/quote:sym<tr>	g_quote__tr
Perl6::Grammar/quote:sym<y>	g_quote__y
Perl6::Grammar/old_rx_mods	g_old_rx_mods
Perl6::Grammar/quote:sym<quasi>	g_quote__quasi
Perl6::Grammar/circumfix:sym<STATEMENT_LIST( )>	g_circumfix__STATEMENT_LISTx28x20x29
Perl6::Grammar/circumfix:sym<( )>	g_circumfix__x28x20x29
Perl6::Grammar/circumfix:sym<[ ]>	g_circumfix__x5bx20x5d
Perl6::Grammar/circumfix:sym<ang>	g_circumfix__ang
Perl6::Grammar/circumfix:sym«<< >>»	g_circumfix__x3cx3cx20x3ex3e
Perl6::Grammar/circumfix:sym<« »>	g_circumfix__u00abx20u00bb
Perl6::Grammar/circumfix:sym<{ }>	g_circumfix__x7bx20x7d
Perl6::Grammar/termish	g_termish
Perl6::Grammar/arg_flat_nok	g_arg_flat_nok
Perl6::Grammar/prefixish	g_prefixish
Perl6::Grammar/infixish	g_infixish
Perl6::Grammar/fake_infix	g_fake_infix
Perl6::Grammar/infixstopper	g_infixstopper
Perl6::Grammar/postfixish	g_postfixish
Perl6::Grammar/postop	g_postop
Perl6::Grammar/prefix_circumfix_meta_operator	g_prefix_circumfix_meta_operator
Perl6::Grammar/infix_postfix_meta_operator	g_infix_postfix_meta_operator
Perl6::Grammar/infix_prefix_meta_operator	g_infix_prefix_meta_operator
Perl6::Grammar/infix_circumfix_meta_operator	g_infix_circumfix_meta_operator
Perl6::Grammar/postfix_prefix_meta_operator	g_postfix_prefix_meta_operator
Perl6::Grammar/prefix_postfix_meta_operator	g_prefix_postfix_meta_operator
Perl6::Grammar/term:sym<reduce>	g_term__reduce
Perl6::Grammar/postfix_prefix_meta_operator:sym<»>	g_postfix_prefix_meta_operator__u00bb
Perl6::Grammar/prefix_postfix_meta_operator:sym<«>	g_prefix_postfix_meta_operator__u00ab
Perl6::Grammar/infix_circumfix_meta_operator:sym<« »>	g_infix_circumfix_meta_operator__u00abx20u00bb
Perl6::Grammar/infix_circumfix_meta_operator:sym«<< >>»	g_infix_circumfix_meta_operator__x3cx3cx20x3ex3e
Perl6::Grammar/revO	g_revO
Perl6::Grammar/dotty	g_dotty
Perl6::Grammar/dotty:sym<.>	g_dotty__x2e
Perl6::Grammar/dotty:sym<.*>	g_dotty__x2ex2a
Perl6::Grammar/dottyop	g_dottyop
Perl6::Grammar/privop	g_privop
Perl6::Grammar/methodop	g_methodop
Perl6::Grammar/dottyopish	g_dottyopish
Perl6::Grammar/postcircumfix:sym<[ ]>	g_postcircumfix__x5bx20x5d
Perl6::Grammar/postcircumfix:sym<{ }>	g_postcircumfix__x7bx20x7d
Perl6::Grammar/postcircumfix:sym<ang>	g_postcircumfix__ang
Perl6::Grammar/postcircumfix:sym«<< >>»	g_postcircumfix__x3cx3cx20x3ex3e
Perl6::Grammar/postcircumfix:sym<« »>	g_postcircumfix__u00abx20u00bb
Perl6::Grammar/postcircumfix:sym<( )>	g_postcircumfix__x28x20x29
Perl6::Grammar/postcircumfix:sym<[; ]>	g_postcircumfix__x5bx3bx20x5d
Perl6::Grammar/postcircumfix:sym<{; }>	g_postcircumfix__x7bx3bx20x7d
